,gamma5,gamma6,gamma7,gamma8,gamma9,gamma10,gamma11,gamma12,gamma13,gamma14,gamma15,gamma16,gamma17,gamma18,gamma19,gamma20,gamma21,gamma22,gamma23,gamma24,gamma25,gamma26,gamma27,gamma28,gamma29,gamma30,gamma31,gamma32,gamma33,gamma34,gamma35,gamma36,gamma37,gamma38,gamma39,gamma40,gamma41,gamma42,gamma43,gamma44,gamma45,gamma46,gamma47,gamma48,gamma49,gamma50,gamma51,gamma52,gamma53,gamma54,gamma55,gamma56,gamma57,gamma58,gamma59,gamma60,gamma61,gamma62,gamma63,gamma64,gamma65,gamma66,gamma67,gamma68,gamma69,gamma70,gamma71,gamma72,gamma73,gamma74,gamma75,gamma76,gamma77,gamma78,gamma79,gamma80,gamma81,gamma82,gamma83,gamma84,gamma85,gamma86,gamma87,gamma88,gamma89,gamma90,gamma91,gamma92,gamma93,gamma94,gamma95,gamma96,gamma97,gamma98,gamma99,gamma100
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9768035617123678,0.9724397623355459,0.9681611852990935,0.9639652300786254,0.9598494011918851,0.955811302951478,0.9518486345272379,0.9479591852985965,0.9441408304777159,0.940391526984877,0.9367093095594126,0.933092287090628,0.9295386391543046,0.92604661274151,0.9226145191673314,0.9192407311481179,0.9159236800366158,0.9126618532051127,0.9094537915674639,0.9062980872314406,0.9031933812735127,0.9001383616286477,0.89713176108827,0.8941723553999752,0.8912589614629887,0.8883904356138208,0.8855656719968794,0.882783601015184,0.8800431878566186,0.8773434310914575,0.8746833613371885,0.8720620399868855,0.8694785579976303,0.8669320347357121,0.8644216168755118,0.8619464773491909,0.8595058143444706,0.8570988503479485,0.8547248312315607,0.8523830253799377,0.8500727228565301,0.8477932346065139,0.8455438916945954,0.8433240445759468,0.8411330623986021,0.838970332335748,0.8368352589464173,0.8347272635631914,0.8326457837055887,0.8305902725178912,0.8285601982302279,0.8265550436418033,0.8245743056252162,0.8226174946508689,0.8206841343305274,0.8187737609791375,0.8168859231940474,0.8150201814508439,0.8131761077150319,0.8113532850688456,0.8095513073525045,0.807769778819266,0.8060083138036616,0.8042665364023307,0.8025440801668998,0.800840587808377,0.7991557109125657,0.7974892312873231,0.7958488993631394,0.7942344709855579,0.792641059707983,0.7910712612662617,0.7895192919277951,0.7880015960163584,0.7865009471642576,0.7850164335651318,0.7835477409256437,0.7820945916831623,0.7806567141608856,0.7792338430513425,0.7778257353370005,0.7764323197581237,0.7750531676415806,0.7736913932261509,0.7723516060634346,0.7710303398879661,0.7697231970642685,0.7684446255726927,0.7671860977175694,0.7659403487644216,0.7647072146791628,0.763486714600739,0.7622783761135757,0.7610819856626008,0.7598973445327984,0.7587243015059361
2,0.9557248902124599,0.9474043491399562,0.9392491355381383,0.9312541984888323,0.9234146911102586,0.9157259603645639,0.9081835374667943,0.9007831288571829,0.8935206076993789,0.8863920058686674,0.8793935063977211,0.8725214363496657,0.8657722600904736,0.8591425729349034,0.8526290951419309,0.8462286662374934,0.8399382396439352,0.8337548775969473,0.8276757463322791,0.8216981115255918,0.815819333970131,0.8100368654778107,0.8043482449903944,0.7987510948883241,0.7932431174855306,0.7878220916994401,0.7824858698860074,0.7772323748303419,0.7720595968840573,0.7669655912410698,0.7619484753441145,0.7570064264146992,0.7521376790997043,0.7473405232282665,0.7426133016729407,0.7379544083095497,0.7333622860704411,0.7288354250862006,0.7243723609111716,0.719971672828407,0.7156319822299303,0.7113519510684356,0.7071302803767804,0.7029657088518304,0.6988570114994147,0.6948029983373484,0.6908025131536267,0.6868544323170802,0.6829576636379254,0.6791111452757819,0.6753138446928665,0.6715647576502022,0.6678629072447894,0.6642073429858095,0.6605971399080196,0.657031397720611,0.653509239989882,0.6500298133541735,0.6465922867695869,0.6431958507850902,0.6398397168456811,0.6365231166223523,0.6332453013676617,0.6300055412957752,0.6268031249859035,0.6236373588081108,0.6205075663705227,0.6174133295102293,0.6143641057790907,0.6113606844193753,0.6083976832359111,0.6054797789545979,0.6025963317188243,0.5997763557871582,0.596989059675275,0.5942327834597659,0.5915069085918244,0.5888108994860363,0.5861442320977359,0.5835063946749016,0.5808969188962403,0.5783156713824871,0.5757618396061177,0.573241098808139,0.5707582061090366,0.5683083782504281,0.5658857628825587,0.5635126921214167,0.5611762480132092,0.55886422744326,0.5565763469877717,0.5543126988179814,0.5520722849541934,0.5498547005968308,0.5476595689294484,0.5454866225993965
3,0.9438227011804378,0.9332917830898635,0.9229787434567327,0.9128769035714237,0.9029798545616183,0.893281443913116,0.8837757627860245,0.8744571340759086,0.8653201011704732,0.856359417354232,0.8475700358182457,0.8389471002349583,0.8304859358611301,0.8221820411347653,0.8140310797342254,0.8060288730702021,0.7981713931832861,0.7904547560217343,0.7828752150759981,0.7754291553480214,0.7681130876350419,0.7609236431088449,0.7538575681728606,0.7469117195806448,0.7400830598003062,0.7333686526106296,0.7267656589154351,0.7202713327637033,0.713883017563739,0.7075981424804239,0.70141421900534,0.6953288376901348,0.6893396650341469,0.6834444405178745,0.6776409737743511,0.6719271418910314,0.6663008868352034,0.6607602129963833,0.6553031848395381,0.6499279246633587,0.6446326104581224,0.6394154738580358,0.6342747981832277,0.6292089165668475,0.6242162101629799,0.6192951064313524,0.6144440774950051,0.6096616385673392,0.6049463464451517,0.6002967980644407,0.5957116291159613,0.5911895127176618,0.5867291581412972,0.5823293095906574,0.577988745028984,0.5737062750532845,0.5694807418133675,0.5653110179735448,0.5611960057150408,0.5571346357772695,0.5531258665362166,0.5491686831182665,0.5452620965478918,0.5414051429277087,0.5375968826494693,0.5338363996346421,0.5301228006032936,0.5264554583805557,0.5228405853069886,0.5192801818228092,0.5157720036108527,0.5123179926192841,0.5089088692419802,0.5055623496781237,0.5022571874421481,0.4989919515699843,0.49576583111959804,0.4925781284304508,0.4894281614138567,0.4863152640047751,0.48323883828700187,0.4801988293412829,0.4771940666859863,0.474229304852518,0.47130736757374625,0.4684247753546229,0.46557768271517475,0.4627809542982018,0.46002428759648006,0.4572987329770869,0.4546039387586792,0.45193994079003685,0.4493055088410467,0.4467001353528269,0.4441233478809502,0.4415748120040504
4,0.9373959285584886,0.925673537587841,0.9141980357763074,0.9029618457372373,0.8919576962100078,0.8811786067689604,0.8706178734346139,0.8602690551299574,0.8501259609257621,0.8401826380209665,0.8304333604094558,0.8208726181878901,0.8114951074626069,0.8022957208169126,0.7932695383026807,0.784411818922987,0.775717992574854,0.7671836524232968,0.758804547680078,0.7505765767622302,0.742495780807351,0.7345583375240639,0.7267605553576647,0.7190988679522861,0.7115698288920627,0.7041701067051398,0.6968964801152457,0.6897458335266915,0.682715152729488,0.6758015208121628,0.6690021142706839,0.6623141993025664,0.6557351282759765,0.6492623363642793,0.6428933383370348,0.6366257254990426,0.6304571627695216,0.6243853858939937,0.6184081987818957,0.612523470963361,0.606729135158979,0.6010231849567349,0.595403672590651,0.5898687068159737,0.5844164508760428,0.5790451205562732,0.5737529823209109,0.5685383515284927,0.5633995907221636,0.5583351079912032,0.5533433554003349,0.5484228274835632,0.543572059799472,0.5387896275450763,0.5340741442254752,0.529424260376709,0.5248386623393486,0.5203160710804888,0.5158552410619215,0.5114549591524038,0.5071140435820187,0.5028313429367476,0.4986057351914577,0.4944361267796071,0.4903214516980477,0.48626067064539463,0.4822527701925012,0.47829698600936954,0.47439751496262855,0.47055774923131927,0.4667777096787905,0.4630559623115741,0.4593852353473149,0.455774444929109,0.4522096675335956,0.448689691142992,0.44521359861630094,0.4417806029220142,0.4383899348425495,0.43504084323645087,0.4317326727120251,0.4284655612518147,0.4252379744304416,0.42205365768657344,0.41891438365471034,0.4158176262276764,0.412761740175846,0.409756762132974,0.4067932541890122,0.40386450779333866,0.4009701333234912,0.39811009560123717,0.39528307732358947,0.39248851490605685,0.3897258834010502,0.38699481329662094
5,0.9344264808775555,0.9221542628977297,0.910142554154618,0.8983833570103315,0.8868689968737582,0.8755921060654352,0.8645456086344879,0.8537227060672806,0.8431168638286252,0.8327217986786258,0.8225314667137953,0.8125400520845913,0.80274195634509,0.7931317883939688,0.7837043549687288,0.7744546516580543,0.7653778543996679,0.7564693114332912,0.7477245356806475,0.7391391975261878,0.7307091179742808,0.722430262160063,0.7142987331928696,0.7063107663125461,0.698462723340161,0.690751087406063,0.6831724579391697,0.6757235459025633,0.6684011692613538,0.6612022486697032,0.6541238033647818,0.6471629472561287,0.6403168851996655,0.6335829094462888,0.6269583962555441,0.6204408026655204,0.6140276634106159,0.6077165879793314,0.6015052578047322,0.5953914235806602,0.5893729026971569,0.583447576788986,0.5776133893914709,0.5718683436982078,0.5662105004155228,0.56063797570885,0.5551489392364554,0.5497416122662078,0.5444142658713419,0.5391652192013618,0.5339928378244695,0.5288955321380849,0.5238717558442212,0.5189200044866449,0.5140388140469218,0.5092267595966028,0.5044824540029432,0.4998045466857025,0.49519172242267073,0.4906427002017275,0.4861562321173176,0.48173110230935956,0.4773661259426917,0.47306014822526293,0.4688120434633623,0.46462071415226613,0.46048509010076766,0.4564043144697038,0.4523811025798536,0.44842065013555815,0.44452476330262736,0.44068786588353837,0.436905329700204,0.43318120647995795,0.4295052690589187,0.4258764339731876,0.4222937335773771,0.4187563385679276,0.4152634385117115,0.4118142420153869,0.40840808048328087,0.40504533332288145,0.401724123596,0.3984472289667798,0.3952155612701689,0.39202743431721043,0.3888837547382454,0.38579243557956133,0.3827433625307462,0.37973077614284084,0.3767542689225489,0.3738137192107245,0.3709078228803074,0.368035989273777,0.36519766677498416,0.36239247322729234
6,0.9384740351011864,0.9269475279264232,0.9156618536213987,0.9046096401540002,0.8937838131057945,0.88317758080889,0.8727844203597896,0.8625980644546387,0.852612488991376,0.8428219013863638,0.8332207295581717,0.8238036115344454,0.8145653856410633,0.805501081235978,0.7966059099526724,0.7878752574208937,0.7793046754346045,0.7708898745391506,0.7626267170118001,0.7545112102114067,0.7465395002748547,0.7387078661392772,0.7310127138706313,0.7234505712804846,0.7160180828139898,0.7087120046933363,0.7015292003018363,0.6944666357948975,0.68752137592495,0.6806905800682566,0.6739714984423381,0.6673614685033976,0.6608579115138409,0.6544583292706097,0.6481603009855834,0.6419614803098851,0.6358595924943999,0.6298524316792844,0.6239378583056825,0.6181137966432808,0.612378232427676,0.6067292106019269,0.6011648331569615,0.5956832570658287,0.5902826923070681,0.5849613999727568,0.5797176904570137,0.574549921721009,0.5694564976307356,0.5644358663640019,0.5594865188833096,0.5546069874714591,0.5497958443268952,0.5450517002159718,0.5403732031794588,0.5357590372907662,0.531207921463483,0.5267186083059692,0.5222898830208382,0.5179205623473018,0.5136094935444326,0.5093555534135173,0.5051576473577521,0.5010147084776299,0.4969256967004487,0.4928895979424474,0.48890542330215353,0.484972353475788,0.481092322046077,0.47727384004733003,0.47351988917461574,0.4698200436302162,0.46617226031080006,0.46257846143313636,0.4590296247614556,0.4555248139873249,0.45206313169940465,0.44864380920399966,0.44526609517556837,0.4419292559015791,0.43863270683307176,0.43537718061122477,0.43216051113247317,0.4289847987751292,0.425850523569095,0.42275659370353913,0.4197073921051707,0.4167113520675171,0.4137553649136249,0.41083358182043256,0.40794562371029686,0.40509131650039976,0.4022695135042333,0.3994796629202365,0.39672124803765396,0.3939939185861764
7,0.9471102986292452,0.9371822178389209,0.927455191499008,0.9179230925138656,0.9085800409784754,0.8994203918348915,0.8904387232570026,0.8816298257174291,0.8729886916913109,0.8645105059534399,0.856190636429442,0.8480246255644098,0.8400081821751023,0.83213717375449,0.8244076191995131,0.8168156819352059,0.809357663410218,0.8020299969404807,0.7948292418795556,0.787752078095529,0.7807953007358959,0.7739558152629872,0.7672306327438205,0.7606168653792965,0.7541117222586122,0.7477125053258367,0.7414166055463298,0.7352214992615809,0.7291247447217315,0.7231239787857566,0.7172169137799446,0.7114013345058638,0.7056750953895873,0.7000361177644698,0.6944823872802129,0.68901195143144,0.6836229171993912,0.6783134488007427,0.6730817655379175,0.6679261397455958,0.6628448948284229,0.6578364033852423,0.6528990854154229,0.6480314066031244,0.6432318766755747,0.6384990478316669,0.6338315132373793,0.6292279055847283,0.6246868957111517,0.6202071912763776,0.6157875354940128,0.6114267059152225,0.6071235132620272,0.6028768003078676,0.5986854408032206,0.5945483384441625,0.5904644258818922,0.5864326637713276,0.5824520398569883,0.5785215680944708,0.5746402878059104,0.5708072628679055,0.5670215809304553,0.563282352665541,0.5595887110440438,0.5559398106397605,0.5523348269593426,0.5487730618815405,0.5452558731399821,0.5417978994164144,0.5384016567518912,0.5350508247282909,0.5317461517495111,0.5284886576243295,0.5252694045094913,0.522087638155072,0.5189426086030429,0.5158336698555419,0.5127601902449224,0.5097215528704829,0.5067173026854862,0.5037484502749702,0.5008127260531304,0.49791162582102155,0.49504537639706164,0.4922133437371795,0.4894246608588378,0.4866897369185739,0.48399039086008355,0.48132034774780186,0.4786792749621148,0.4760669732819902,0.4734825450978788,0.47092551725214293,0.46839544428539176,0.46589202588642453
8,0.9602443333635651,0.9527599679163827,0.9454200675751372,0.9382202531991035,0.9311563221931418,0.9242242396928868,0.9174201302700278,0.9107402701247034,0.9041810797327058,0.897739116916392,0.8914110703112488,0.8851937532019702,0.879084097703855,0.8730791492672259,0.8671760614840699,0.8613720911777261,0.8556645937577915,0.8500510188236414,0.8445289060012343,0.8390958809988278,0.8337496518683477,0.8284880054599579,0.8233088040583149,0.8182099821897437,0.8131895435902436,0.8082455583250017,0.8033761600506176,0.7985795434118821,0.7938539615654423,0.7891977238231943,0.7846091934087205,0.7800867853204779,0.7756289642958607,0.7712342428706362,0.7669011795285652,0.7626283769363673,0.758414480259467,0.7542581755542405,0.7501581882327397,0.7461132815961147,0.7421222554331635,0.73818394468067,0.7342972181423696,0.7304609772635725,0.7266741549586391,0.7229357144886754,0.7192446483869481,0.7155999774296697,0.7120007496499394,0.7084460393927385,0.7049349464089996,0.7014665949868788,0.6980401331184605,0.6946547317002185,0.69130958376565,0.6880039037485792,0.6847369267757137,0.6815079079871045,0.6783161218832321,0.6751608616975141,0.672041438793082,0.668957182082742,0.6659074374710836,0.6628915673177598,0.6599089499210015,0.6569589790204872,0.6540410633187232,0.6511546894022437,0.6483007616138856,0.6455067799280549,0.6427712260991143,0.6400688614484364,0.6374018333762853,0.6347707766974919,0.63216804124773,0.6295930857618723,0.6270453771642537,0.6245244436663873,0.6220298234800088,0.6195610655825854,0.6171178627078258,0.6147012303668942,0.6123091738945771,0.6099426605266209,0.6076017422587199,0.6052861405733418,0.6030117994501292,0.600790779358614,0.5985975397821185,0.5964262586874514,0.5942766520346998,0.5921484993352328,0.5900412599594896,0.5879545737831253,0.5858881000433437,0.5838415918302458
9,0.9783886845373033,0.9743070263385771,0.9702998627147843,0.9663649469234858,0.9625001227478964,0.9587033199772816,0.9549725501540194,0.9513059025704205,0.9477015404987441,0.9441576976384614,0.9406726747663796,0.9372448365762294,0.9338726086953042,0.9305544748667252,0.9272889742866595,0.9240746990866686,0.9209102919520376,0.9177944438675771,0.9147258919830372,0.9117034175907601,0.9087258442087787,0.9057920357629716,0.9029008948623753,0.9000513611621292,0.8972424098088814,0.8944730499638798,0.8917423233992301,0.889049303163145,0.8863930923102505,0.8837728226932797,0.8811876538127246,0.8786367717212245,0.8761193879796725,0.8736347386622245,0.871182083407543,0.8687607045138039,0.8663699060751189,0.8640090131571809,0.8616773710100707,0.8593743443162871,0.8570993164721679,0.8548516889009916,0.8526308803961393,0.8504363264927906,0.8482674788667215,0.8461238047588491,0.8440047864242415,0.8419099206043936,0.839838718021626,0.8377907028945359,0.8357654124734797,0.8337623965951315,0.8317812172552095,0.8298214481985078,0.8278826745254246,0.8259644923142158,0.8240665082582472,0.8221883393175524,0.8203296123840431,0.8184899639597529,0.8166690398475263,0.8148664948535909,0.8130819925014896,0.8113152047568644,0.8095658117626163,0.8078335015839897,0.8061179699631447,0.8044189540027833,0.8027368182009726,0.8011021098656321,0.7995096768029677,0.7979349709738119,0.7963788006205479,0.7948411200734662,0.7933186062948778,0.7918109784085781,0.7903179539480036,0.7888392834405973,0.7873747223074121,0.785924031660004,0.7844870326197491,0.783064091922782,0.7816543192988619,0.7802580526406182,0.778875532067913,0.7775067954246602,0.7761680542348226,0.7748678619546303,0.7735826367539411,0.772309334203942,0.7710477980848869,0.7697978938391958,0.7685593589655122,0.7673319926907818,0.7661156018840085,0.764910056738811
