,gamma5,gamma6,gamma7,gamma8,gamma9,gamma10,gamma11,gamma12,gamma13,gamma14,gamma15,gamma16,gamma17,gamma18,gamma19,gamma20,gamma21,gamma22,gamma23,gamma24,gamma25,gamma26,gamma27,gamma28,gamma29,gamma30,gamma31,gamma32,gamma33,gamma34,gamma35,gamma36,gamma37,gamma38,gamma39,gamma40,gamma41,gamma42,gamma43,gamma44,gamma45,gamma46,gamma47,gamma48,gamma49,gamma50,gamma51,gamma52,gamma53,gamma54,gamma55,gamma56,gamma57,gamma58,gamma59,gamma60,gamma61,gamma62,gamma63,gamma64,gamma65,gamma66,gamma67,gamma68,gamma69,gamma70,gamma71,gamma72,gamma73,gamma74,gamma75,gamma76,gamma77,gamma78,gamma79,gamma80,gamma81,gamma82,gamma83,gamma84,gamma85,gamma86,gamma87,gamma88,gamma89,gamma90,gamma91,gamma92,gamma93,gamma94,gamma95,gamma96,gamma97,gamma98,gamma99,gamma100
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8918805477886627,0.8774384599893191,0.8643958424951984,0.8528444161515653,0.8426844695906879,0.8336277979665707,0.8255015060848311,0.8181345460181091,0.8113995608005543,0.8051804728440103,0.7994016958358716,0.7940017779330933,0.7889205417636532,0.7841136472681025,0.7795438923850276,0.7751803868273608,0.7709948079381592,0.7669680046729951,0.7630803000593631,0.7593186573377639,0.7556592765826704,0.7520832666457689,0.7485831129714413,0.7451521810956978,0.7417861607629884,0.7384807615649298,0.7352309495681867,0.7320322294349805,0.7288829517634758,0.7257796603015408,0.7227209195383164,0.7197037305320675,0.7167252829104795,0.7137817624534494,0.7108722366522279,0.7079967395227957,0.705156592169766,0.7023461589649215,0.6995652808422629,0.6968135179352534,0.694089282575058,0.6913896933396909,0.6887174585394973,0.6860706191499687,0.6834470276553836,0.6808454219471227,0.6782656220132766,0.675706627508909,0.6731717040202755,0.6706618346832713,0.668169219363058,0.6656960495198819,0.6632454883225426,0.6608116591498499,0.6583981716690622,0.6560170333184222,0.6536548118073909,0.6513097886919652,0.6489805608033449,0.6466653954005432,0.6443678310183504,0.642087925775446,0.6398243573491476,0.6375729711591156,0.635335943727817,0.6331146983890615,0.63090726046077,0.6287114297758066,0.6265327694485384,0.624378096802383,0.6222395025522598,0.6201177943854711,0.6180166268850431,0.6159298062310876,0.6138554394468503,0.6117914814933255,0.6097386523210009,0.6076962931272635,0.6056696192944099,0.6036628606018815,0.6016674734114693,0.5996901707658479,0.5977238423447613,0.595773807284363,0.5938375820918511,0.5919156758490747,0.590005359040629,0.5881066028578744,0.5862180345994872,0.584338513612058,0.5824695336403739,0.5806087960008748,0.5787561690519509,0.5769119007446354,0.5750780656080601,0.5732676828292365
2,0.7862703957742038,0.7594252686773137,0.7354010473048129,0.7139103636776838,0.6946669563412752,0.6772891168459114,0.6615076332060476,0.6470703729652463,0.6337738957871345,0.6214307994831874,0.6099214263048357,0.5991399179470215,0.5889839079338357,0.5793794640307978,0.570258218996942,0.561563450319696,0.5532481324662606,0.5452750520691217,0.5376098080891941,0.5302270824614512,0.5230923053491239,0.5161771530568328,0.5094655480590696,0.5029430655306426,0.49659866157110144,0.4904227848308331,0.48440357248909566,0.47853248022582057,0.4728053092511739,0.4672143262844735,0.4617538538834578,0.4564195175497745,0.4512040039238226,0.4460966793956122,0.44109416798113715,0.43619623127997165,0.43140565835114575,0.42670944340406397,0.4221049016355066,0.4175915329369198,0.41316411850218154,0.4088160239604059,0.4045511286109245,0.4003649835954078,0.3962525072174098,0.3922112279374758,0.3882387510065476,0.38433219552559256,0.380494826505899,0.3767280349332577,0.3730201111814801,0.36937210563449113,0.3657870031137272,0.36225797355119616,0.3587870567537247,0.3553884406167813,0.35204435468509476,0.34875157553671204,0.34550748989565966,0.34230984384359237,0.3391627611810228,0.33606358808373143,0.333009799948045,0.3299974862896441,0.32702727355661004,0.32410045886024724,0.3212142926629718,0.3183657803426865,0.31555805877626575,0.31279489156314666,0.3100701981916705,0.3073856939174455,0.3047436798552672,0.30213956944207554,0.2995705628343634,0.29703355736168247,0.2945282163218522,0.292053781554425,0.2896144049666753,0.28721340094968184,0.28484328737902137,0.28250683101374546,0.2801997447313143,0.27792469516358204,0.27567975953460655,0.2734654597835472,0.2712786838783614,0.2691187922150804,0.26698420500248143,0.26487395859871565,0.2627882594299825,0.26072580401043477,0.2586863262788708,0.25666974307195717,0.25467698181367493,0.2527154698744518
3,0.6918333756001763,0.6555121177020946,0.6235035321949093,0.5951537044444731,0.5699222173515313,0.5472704434671848,0.5267944754237678,0.5081596757513874,0.49108800585152823,0.47534927094521645,0.4607710177307715,0.44720604224278615,0.43452650840063833,0.4226292677296637,0.4114265303298932,0.4008453117562923,0.3908200082946659,0.38129922735056315,0.3722363464332413,0.3635937531279213,0.3553296262102997,0.34740879648971,0.33980634486306194,0.3324998476541347,0.32547016637954607,0.31870018204732603,0.31217273429808845,0.3058730377926014,0.2997888894312844,0.2939075682681201,0.28821882792419024,0.2827125560934719,0.277378669271882,0.272206809104653,0.26718936869686993,0.2623202396374368,0.2575939625086586,0.25300191538824063,0.2485388328968854,0.2441995032065405,0.23997836492861502,0.23586900196104252,0.23186940522307875,0.22797505848642052,0.22418100863984472,0.2204830453292645,0.21687697155383215,0.21335940241394896,0.20992819795126666,0.20658074139903138,0.20331213851090574,0.20011975279990735,0.19700286681029966,0.1939574107227318,0.19098136535259666,0.18807615425203847,0.18523563165501208,0.18245784157274164,0.17974005403483545,0.1770801011235884,0.17447859140263058,0.17193213595304765,0.16943887146035502,0.16699660623857407,0.16460428043486933,0.16226092907167985,0.15996490439142413,0.15771385929381018,0.15550747089290753,0.1533454453814392,0.15122567750777646,0.14914771531679413,0.1471110684660754,0.1451138225971719,0.14315507792140814,0.14123264496006724,0.13934551308457466,0.13749288438533758,0.13567510102941033,0.13389204837376265,0.13214187691285242,0.13042378508236668,0.1287366202365081,0.1270805535803991,0.12545437602401,0.12385750731108301,0.12228855415638439,0.12074700584142703,0.11923168500260822,0.1177417009320185,0.11627662016881958,0.11483570577961724,0.11341850791761889,0.1120246740691136,0.11065420714372429,0.10930828229334529
4,0.6103279622442627,0.5671201873264355,0.5296470866369958,0.49690421524080947,0.4680998967357826,0.44253016840292597,0.4196628389027341,0.39907108274799014,0.38040256048703674,0.36337466063857865,0.34776636173811587,0.33339249169781054,0.32009855074033877,0.3077553547317557,0.29625383173325837,0.28550399905570456,0.27542457056140224,0.26595112845670993,0.2570261118835747,0.2486012943922496,0.2406279833020494,0.233064751513224,0.22587951934624664,0.21904340440327666,0.2125311514825591,0.20632006032201913,0.20038873739676727,0.194717912146783,0.1892910388241277,0.18409244446110898,0.17910842473573724,0.17432571757088616,0.16973234652972272,0.16531687404211337,0.16106942736484517,0.15698120745546973,0.15304409523282786,0.1492494171379633,0.14559015838178194,0.14205945200032546,0.13865097788557187,0.135358288926761,0.13217676895452993,0.1291012507541742,0.12612654383419347,0.12324779079296463,0.12046043510606516,0.11776064007365807,0.1151448764427408,0.1126096253767047,0.11015109080655328,0.1077659946597821,0.10545194834484382,0.10320558915429577,0.10102432169692814,0.0989065899820418,0.09684892213331493,0.09484910726095912,0.09290469911424704,0.09101356333312872,0.0891745480338724,0.0873851136054319,0.0856435190319642,0.0839479036492501,0.08229673016917362,0.08068860639098645,0.07912206347312069,0.07759522868878663,0.07610701962721192,0.07465634958355775,0.07324186548547722,0.07186249252311236,0.07051717587137674,0.0692047545087938,0.0679243587750005,0.06667459520473848,0.06545441658649849,0.06426304261918023,0.06309981665700284,0.06196398109058795,0.06085470309915544,0.059770994064313576,0.05871210896487925,0.05767761459689765,0.0566666697224389,0.055678621421375,0.05471260328450699,0.05376810947829655,0.05284429534717728,0.05194043868616583,0.05105603340842462,0.050190516390369956,0.049343414483327235,0.04851429956672503,0.04770283904618081,0.04690903090286026
5,0.5424366921691118,0.4944608046925892,0.4534825085828532,0.41817282242348186,0.38750627310926883,0.36062274494365115,0.33687197619047715,0.31573872954920557,0.2968036227236225,0.27973420949408234,0.2642671308920142,0.2501840728326427,0.23730574999870183,0.22548144626946914,0.2145842868611103,0.20450967015086777,0.19516460584152412,0.18647422632944713,0.17837239460080295,0.17080309455770715,0.1637126322235282,0.15705506924522825,0.15079342955392933,0.14489451419649438,0.13932918187476112,0.134071415084692,0.1290972594111285,0.12438499163778817,0.11991582558761887,0.11567245842740363,0.11163944376191405,0.10780218891445215,0.10414777732266739,0.10066417149308561,0.0973405801717818,0.0941672188042203,0.09113507817205471,0.08823546101972074,0.08546074630995087,0.0828036786277606,0.08025771511381287,0.0778165240818437,0.0754746849677073,0.07322691305464986,0.07106813877181245,0.06899355927559812,0.06699873668909635,0.06507978774974614,0.06323299096834097,0.061454811834663836,0.05974185824680161,0.058090946470061036,0.05649935489491369,0.05496414526733643,0.05348278593956386,0.05205311183409393,0.05067255754930404,0.04933897535063147,0.04805022926823365,0.046804375285730025,0.045599869016093725,0.04443471816861316,0.04330734608284859,0.04221615623754444,0.04115965888019627,0.040136531601546094,0.0391454490235558,0.038184962707749064,0.037253955137860506,0.036351319569937875,0.0354759958362562,0.0346269365673077,0.033803128694796514,0.03300369567140247,0.03222782451629009,0.031474536300925296,0.03074295679497922,0.030032371629595996,0.02934205942498037,0.028671293606152316,0.02801946439421716,0.027385814879382582,0.026769742829416295,0.026170722670133064,0.02558815894062857,0.02502150926105631,0.024470183141829437,0.023933732633102618,0.02341155367466129,0.022903130705707257,0.02240804163992738,0.02192585838332315,0.021456188230333434,0.020998658715322974,0.02055291463017336,0.02011875065867063
6,0.4878668216017627,0.4367324531167632,0.3936526982604282,0.35701299364828415,0.32558315531555015,0.2983657560205576,0.27460777519699264,0.2537168715946941,0.2352172936339777,0.21873395358290088,0.20396876072761744,0.1906766642026568,0.178657508619788,0.16774421633688444,0.1577965570738785,0.14869884533050473,0.14034998902106258,0.13266770057767233,0.12557990842277797,0.11902554353431853,0.1129480007478366,0.10729871563613469,0.10203784200278113,0.09712982720935327,0.09254353587698151,0.08825139512643697,0.08422832675431843,0.08045171907565975,0.07690195352612847,0.07356122279294612,0.07041357892656372,0.0674442237255575,0.06464012187486176,0.06198928421095578,0.05948089120120149,0.057105128109433585,0.05485301239033175,0.05271618288850344,0.050687141844857946,0.048758879634741605,0.04692509784961171,0.045179850741984655,0.04351778628480848,0.04193391620516776,0.040423560913326606,0.03898231064614611,0.037606112717978916,0.03629135510074971,0.03503458905647639,0.03383260268837662,0.03268240297841207,0.03158115459248756,0.03052632023916571,0.02951538678283152,0.028546105327357605,0.027616418083036966,0.026724264124860512,0.02586776281449228,0.025045117737014996,0.024254675827045158,0.023494984439519955,0.02276447335733594,0.022061808600128383,0.021385678447406634,0.020734826583571595,0.020108130772788266,0.01950449373231565,0.018922809087879747,0.018362128644543133,0.017821527259818757,0.017300161414182197,0.016797179844460157,0.01631176543754561,0.015843228617416764,0.015390898219503589,0.014954070148814407,0.014532071855867494,0.01412431908071793,0.013730233475472958,0.013349248880543112,0.012980893463622897,0.01262462190848041,0.012279969067289589,0.011946495776073946,0.01162377340767094,0.011311400307559923,0.011008967677224785,0.010716125098480342,0.010432451003492518,0.010157590657437182,0.00989123109397377,0.00963306376304419,0.009382799323004412,0.009140157523994791,0.008904862968616018,0.008676717115435025
7,0.4461937301592358,0.393070876010362,0.34882966376523133,0.31162132637659873,0.2800490082327007,0.25300349046297554,0.2296486088250402,0.20933035475393497,0.19152898276687153,0.17583590296413168,0.16192637729377576,0.14953546032021445,0.13844718452515953,0.1284828723310111,0.11949315904081469,0.11135476629831655,0.10396142913764633,0.09722611179119887,0.09107312394123096,0.08543849941316106,0.08026432799380026,0.07550092179417002,0.07110704955773113,0.06704622716009537,0.06328662031740759,0.059800224367813105,0.056561800168609795,0.05354878919170156,0.05074158367341276,0.04812256354798554,0.04567599056789058,0.04338745351631216,0.04124428136308741,0.03923493558386421,0.03734902539398891,0.03557715794627484,0.03391079257072764,0.03234211322866461,0.03086407564612954,0.029470177077769333,0.028154583168896304,0.026911867777718406,0.02573708624095082,0.024625711103546357,0.023573549782182297,0.022576686399069106,0.021631537859774633,0.020734885090905146,0.019883688780477117,0.019075145611848653,0.018306670696112366,0.017575830363192466,0.016880415362856577,0.01621831463571951,0.015587613352775795,0.014986537279501276,0.01441340312106259,0.013866640474679112,0.013344775031090389,0.012846448259062847,0.012370426390549347,0.011915473994591192,0.011480504025985253,0.011064467225047203,0.010666359121939615,0.010285274466780226,0.009920344777730447,0.009570727378770702,0.009235669360973472,0.008914445794907863,0.008606398208865019,0.008310874055156209,0.00802725159485661,0.007754996491967383,0.007493587754945725,0.007242513825088371,0.0070012766536414655,0.00676943003195213,0.006546543640158615,0.006332202136313573,0.00612605075800315,0.005927701938740617,0.00573681291237848,0.0055530568736706564,0.005376127671689257,0.005205738353537379,0.005041605219128649,0.004883472906873164,0.00473105377604729,0.004584105282850349,0.00444240613974668,0.004305741394056204,0.004173909073262505,0.004046712193240298,0.003923958135577124,0.0038054961734067367
8,0.41677182165737336,0.3624710593768785,0.31764374726933714,0.28026704543105435,0.2488210176959234,0.22211400222407165,0.1992489316810017,0.17952704678216394,0.16239731978525715,0.14742732595660077,0.13427355868258145,0.12265756151321953,0.11235259580474594,0.1031723399161616,0.09496176021506794,0.08759282973595994,0.0809562913503116,0.07496233972510279,0.06953333165558237,0.06460385298998678,0.060115624021050335,0.05601871909882474,0.052271413875852636,0.048837076036246166,0.04568385032522606,0.042783852861655876,0.04011213410059642,0.03764657251939195,0.035367926719639606,0.03325902765837673,0.03130460440732857,0.02949080694948007,0.02780547461923854,0.02623762113200554,0.024777393214838378,0.02341592109591685,0.022145184052824368,0.02095791245552312,0.019847560509639678,0.018808140434788068,0.01783428815339691,0.01692106579256232,0.016063972287819032,0.015258920227164493,0.014502156895428482,0.013790206503695118,0.013119903087963732,0.012488393185802128,0.011893012267958223,0.011331316722757884,0.01080106587445772,0.010300169830650891,0.0098267232593484,0.009378937894467955,0.00895518574707917,0.008553959847021208,0.008173859013468017,0.007813573851835894,0.007471886494847789,0.0071476761519179135,0.006839914414832554,0.006547609307455705,0.006269873727911671,0.0060058623763306965,0.005754771986423996,0.005515874206470591,0.005288479977995879,0.005071934064788076,0.004865641006321534,0.0046690339192728605,0.004481596171451419,0.004302826438720258,0.004132250267313119,0.003969451340844297,0.0038140278482964155,0.0036655976086434347,0.003523789441412185,0.0033882656386244616,0.0032587058579748615,0.003134804118012087,0.0030162935476027108,0.002902894342893269,0.0027943540156996263,0.0026904333785380376,0.00259091060048085,0.0024955788129070325,0.00240423705749191,0.002316700581105659,0.0022327710742375572,0.002152279174357348,0.0020750680707581123,0.002000987170374124,0.0019298953671716425,0.001861655275314138,0.0017961340964509937,0.0017332229099451405
9,0.39929269463698064,0.34438475041282207,0.29930430376181427,0.2619215185334071,0.2306411702157428,0.20422119337058894,0.1817276461879838,0.16243460009786947,0.14577252808793967,0.13129490714285433,0.11864702223798922,0.10754277048085835,0.09774921142876801,0.08907571994105647,0.08136434374335308,0.07448447941026323,0.06832542910315377,0.06279599566126615,0.05781762386353183,0.05332431724705383,0.0492578156558259,0.045568314846236906,0.04221400101034951,0.03915837407283298,0.036369769129069404,0.03382056249671329,0.031486143190391384,0.02934481615180911,0.02737770863716491,0.025568048689757025,0.02390097230809317,0.022363077644293364,0.02094261192882218,0.01962901506195265,0.018412846955894454,0.01728563759556909,0.0162397546284558,0.015268318571302703,0.01436514813768989,0.013524621357359842,0.012741708140709102,0.012011808961921017,0.011330742131048973,0.010694723999441508,0.010100299819188183,0.00954428947397915,0.00902380637113726,0.00853624599055908,0.00807919627254056,0.007650452058564575,0.007247998104181803,0.006869969151025596,0.006514663862801354,0.006180499833738895,0.005866036269462287,0.005569944886824334,0.005290999441774421,0.00502805857742212,0.004780066163388988,0.004546051297713472,0.004325122113135775,0.004116433650048153,0.00391922492992966,0.0037327775485895285,0.003556413641732815,0.0033895162603146066,0.0032315073198884514,0.003081842780639979,0.002940025238686108,0.0028055849861360273,0.0026780930130976387,0.002557138940417958,0.002442336649830968,0.0023333427422059885,0.002229828539483035,0.002131486147850742,0.0020380192086596974,0.0019491561776328334,0.0018646417753145992,0.0017842337775722343,0.001707717772856285,0.0016348761077602388,0.0015655101508061243,0.0014994332042408936,0.0014364718808280719,0.001376465428581176,0.0013192592848604097,0.001264710166067049,0.0012126698695978906,0.0011630098531919932,0.0011156103632393006,0.0010703575196749574,0.0010271449317565166,0.0009858693209776935,0.000946432003777266,0.0009087496349768457
