,gamma5,gamma6,gamma7,gamma8,gamma9,gamma10,gamma11,gamma12,gamma13,gamma14,gamma15,gamma16,gamma17,gamma18,gamma19,gamma20,gamma21,gamma22,gamma23,gamma24,gamma25,gamma26,gamma27,gamma28,gamma29,gamma30,gamma31,gamma32,gamma33,gamma34,gamma35,gamma36,gamma37,gamma38,gamma39,gamma40,gamma41,gamma42,gamma43,gamma44,gamma45,gamma46,gamma47,gamma48,gamma49,gamma50,gamma51,gamma52,gamma53,gamma54,gamma55,gamma56,gamma57,gamma58,gamma59,gamma60,gamma61,gamma62,gamma63,gamma64,gamma65,gamma66,gamma67,gamma68,gamma69,gamma70,gamma71,gamma72,gamma73,gamma74,gamma75,gamma76,gamma77,gamma78,gamma79,gamma80,gamma81,gamma82,gamma83,gamma84,gamma85,gamma86,gamma87,gamma88,gamma89,gamma90,gamma91,gamma92,gamma93,gamma94,gamma95,gamma96,gamma97,gamma98,gamma99,gamma100
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.871725182707849,0.8545447942443885,0.8390437037308978,0.8249511272823955,0.8120528023958291,0.8001768966539533,0.7891839374024412,0.778959564708847,0.7694465354696443,0.7605584409872973,0.7522647869875144,0.7444848978720341,0.7371761049777983,0.7302887821168805,0.7237798795815485,0.7176415248860825,0.7118780750395788,0.7064205754783288,0.7012484345195252,0.6963379547022617,0.6916526335315445,0.6871905890088418,0.6829514189988048,0.6789276817413312,0.6750996376767113,0.6714581614533207,0.6679889973626292,0.6646955932930831,0.6615785450321198,0.658597676538926,0.655736955709847,0.6529891971965173,0.6503416879200864,0.6478126086784601,0.6453870419112648,0.6430474418976807,0.6407914961872381,0.6386256367922174,0.6365408448707447,0.6345226918920227,0.6325675232704379,0.6306887500976041,0.628875535205234,0.6271177852810164,0.6254084364904624,0.623744789955638,0.6221379681971118,0.620577686610078,0.61906708081722,0.6176003890776234,0.6161789028267498,0.6148093266417959,0.6134820863622658,0.6121967626676069,0.6109539079414121,0.6097410475941252,0.6085568837507549,0.6073987093046029,0.6062692405287764,0.6051630955395135,0.604079696894525,0.6030182453622608,0.6019768651806433,0.6009557398637776,0.599961622150791,0.598993779670344,0.5980531393651316,0.5971302324719245,0.5962220607218897,0.595334230856554,0.5944670988300391,0.5936221123047629,0.5927898758326166,0.591975411366377,0.5911774595828895,0.5904017443300432,0.5896381875741654,0.588887394611197,0.5881480622327669,0.5874198335742083,0.5867001875804023,0.5859915101112935,0.5852983643396097,0.5846120519576142,0.5839319378604136,0.5832577559238292,0.5825910951092225,0.5819327376995107,0.5812839620852581,0.5806444888943683,0.5800108417856068,0.5793827241312486,0.5787591712481531,0.5781391454661572,0.5775229920607621,0.5769111987206228
2,0.7809707936948094,0.7522400722686946,0.7264865486827878,0.7032266749799948,0.6820780286917223,0.6627340831602417,0.6449461793753333,0.6285104947642062,0.6132926638869104,0.5991470357073523,0.5859874259486428,0.5736876220320116,0.5621668227009532,0.5513454169374679,0.5411522372649584,0.5315512643005575,0.5225199199397359,0.5139770477574908,0.5058820261185597,0.49819681064635923,0.4908755121189751,0.4839024024253576,0.47726741564053354,0.4709565974149882,0.46494227514403513,0.4592025094931019,0.45371358196211786,0.4484710422999241,0.4434730951983943,0.4386765432224819,0.43406451467029766,0.42962574204030163,0.4253430730641571,0.42122838134828056,0.41726684839613437,0.4134388995239366,0.4097398886194292,0.4061745455831946,0.40273052940521115,0.3993911203249518,0.3961503278193117,0.3930140965147651,0.38997333741059664,0.3870202709230968,0.3841449953159049,0.3813437119059946,0.37862353177195995,0.37597525182780833,0.3734016410907145,0.3708943847964802,0.36845336115859517,0.3660837770289191,0.36377748395527415,0.36153331620220375,0.3593515288892623,0.35721841487782935,0.35513225067042636,0.35308901663387054,0.35109044635876374,0.34913104966172287,0.34720956679565407,0.3453247378413791,0.3434747882041152,0.34165939067959517,0.3398843764470736,0.33814744058886065,0.3364487035339489,0.33478030486626903,0.33313861983770215,0.33153005965281546,0.32995456553855357,0.32841311364371767,0.32689523558747696,0.32540685941386943,0.3239445326136606,0.3225133421711664,0.3211043002348811,0.31971810342871976,0.31835326867902464,0.3170088236440439,0.31568193083305135,0.31437474954913,0.3130896003939954,0.3118194701299764,0.3105635604655442,0.3093215627019331,0.30809478703209936,0.3068832428038059,0.30568791827282277,0.30450855602019244,0.3033421343522144,0.3021880980702165,0.3010454891225485,0.2999132688218133,0.2987914763891102,0.2976805627547982
3,0.7140946578129823,0.6774624761479285,0.6448667132554698,0.6156442965293998,0.5892712755773077,0.5653280708577179,0.5434746466101356,0.5234325245037997,0.504998674391699,0.48797892438338475,0.47223452641005437,0.4576054840904809,0.44397839850325704,0.43125150910899956,0.41933180343938126,0.40815775433334317,0.39768199640011964,0.3878175153710637,0.3785096314860853,0.3697097756248784,0.36136642936423063,0.35345213323572106,0.3459456877434616,0.3388243986917246,0.33205404938368954,0.32560637788457064,0.3194548572682903,0.3135864511935665,0.3079909774274223,0.30263290177936936,0.2974930261022646,0.2925574644485214,0.2878093181378221,0.28324979550435914,0.2788646880384712,0.2746382236780843,0.27056315106314965,0.2666388626356621,0.2628517059640831,0.2591889520909436,0.2556435805288978,0.25221511992383205,0.24889562639276355,0.2456787701888509,0.2425552482426433,0.23952045594302182,0.23657570673002548,0.23371424633677546,0.23093550392469547,0.2282327479590402,0.22560429632780624,0.22305072516486582,0.2205674727627658,0.21815097913418868,0.2157992036560688,0.2135045736225633,0.2112648878672317,0.2090764188507811,0.20693895620261102,0.20484856567525614,0.20280353926595315,0.20080228793837349,0.19884321855620474,0.19692532229579934,0.19505157719150779,0.1932193748095082,0.19142823750175114,0.18967306125432654,0.18795080489907318,0.18626369370363036,0.18461186199354743,0.18299506446694014,0.18140724034383257,0.1798510979323248,0.17832399565199966,0.17682802223919736,0.17535829301854514,0.17391502330402642,0.17249678309059036,0.1711026083232418,0.1697306260818146,0.16838160204780653,0.16705606994005748,0.16575024667417665,0.16446338523377507,0.16319503090188806,0.16194553364962044,0.16071457365540937,0.15950237841430814,0.15830858743826196,0.1571315282579272,0.15597058673181874,0.1548250339181963,0.15369406898268467,0.1525775018526944,0.151475447741775
4,0.6619799622604584,0.6196398816884835,0.5822297837438054,0.5489287253504381,0.5190887488138278,0.49219160235888826,0.4678178284952424,0.44562435256785893,0.42535020958034897,0.4067587515362133,0.38966930565304875,0.37389366309836486,0.3592907470945356,0.3457377614293715,0.33312372350131914,0.32136702629532565,0.31040170727240585,0.3001348483403622,0.29050079156458325,0.28144253436889105,0.27290328872294445,0.2648466809062309,0.2572428340482375,0.2500619597136915,0.24326569200286113,0.23682195261016956,0.23070240869036518,0.2248881682688096,0.2193637196395767,0.2140971226725057,0.20906818846708983,0.2042610628174523,0.19965811265713937,0.19525419622121357,0.1910350956617431,0.18698618546157345,0.18309864332450723,0.17936825995434458,0.1757820821208815,0.17232863421992553,0.16900019643468278,0.16579311752354045,0.16269970054189578,0.15971386652518785,0.15682709713671827,0.15403427818022886,0.1513338693362886,0.14871999774069292,0.14619028055449046,0.14373895325811445,0.14136340591196803,0.139062060526315,0.13683119339917146,0.13466705320552844,0.13256697449350616,0.13052556186729877,0.1285403805439919,0.1266080811595665,0.12472737756158242,0.12289521748571136,0.12110966689445575,0.11936896058466849,0.11767149597039084,0.11601585020559695,0.11440302240135682,0.11283077196608694,0.11129807210176591,0.10980150530882068,0.10833859264721162,0.10690976643550304,0.10551471177639346,0.10415261811241022,0.10281982795513353,0.10151736265503401,0.10024319266440952,0.09899790716582356,0.09777857594429062,0.09658489083015459,0.09541564287218061,0.09426999554853135,0.09314664864643807,0.0920455943463075,0.09096660932731196,0.08990761347624618,0.0888679073719484,0.0878469614463237,0.08684465351499716,0.08586052698690806,0.08489440582243706,0.08394582876425909,0.0830137886833167,0.08209776018016685,0.08119714674459905,0.08031132077888167,0.0794399797056873,0.07858301144275885
5,0.6212948155246595,0.5748445554394535,0.5340689048504581,0.4980091079970322,0.4659094539254376,0.4371663775126155,0.4112921173231648,0.3878883632611551,0.36664604380564114,0.3472918853622888,0.3296110948050386,0.31339139079575307,0.2984692614375476,0.28470428101269873,0.2719706881399573,0.26017167382442996,0.24922740598940846,0.23903920228783956,0.22953319187530347,0.2206456076445157,0.21231513165508464,0.20449897251868823,0.1971608249604417,0.19026591628963224,0.18377312768407816,0.1776479711606208,0.1718604843048866,0.16638816013878005,0.16121203171134896,0.15630186065586626,0.15163664898451631,0.14719920772290396,0.1429715505760727,0.13894490746010515,0.13510487736661073,0.13143731690783056,0.12793238689033537,0.12458369591562919,0.1213788798761373,0.11830710840219313,0.1153603531189939,0.11253334150273306,0.10981851595066797,0.1072098344478567,0.10469934903460522,0.10228171175252707,0.09995393242551076,0.0977105824476835,0.09554838580972473,0.09346214991154923,0.0914488174276047,0.08950587189979449,0.08762980243915663,0.08581693067715268,0.08406438131516261,0.08236789162142037,0.08072494329006782,0.07913249728251304,0.07758879634707005,0.07609123115461773,0.0746378176539877,0.07322674287818097,0.07185641015572652,0.07052524043967483,0.06923323603339183,0.06797841969911307,0.06675956136409572,0.0655740925769722,0.06441995142287035,0.06329679895164751,0.06220405039885331,0.06114071811721686,0.06010432380931945,0.059095057797283745,0.05811132515254111,0.05715304447868633,0.05621822070113351,0.05530632468813605,0.05441632090172536,0.053547445202222085,0.05269871517686436,0.051869803833791535,0.051060244184235735,0.05026871043632771,0.049494562199027474,0.04873726696362931,0.04799651274337342,0.0472718259596094,0.046562886438616356,0.045869215162992645,0.04519010961646256,0.0445251033581104,0.04387369212499344,0.04323536098250416,0.04260977569670522,0.04199672408907068
6,0.5897478744249676,0.5403651691185766,0.49726549353209504,0.459372091248366,0.42583746197063654,0.3959857691597918,0.369271733402875,0.3452508293192602,0.32357462927268416,0.30393894396710985,0.28610159191011575,0.2698307857051804,0.25494540233585095,0.24129058515104407,0.22872876377831505,0.21715169854284838,0.2064689988326363,0.19657720084910618,0.1873964892178882,0.17885811756267578,0.17089731919770404,0.16346663859017557,0.15652510304114717,0.15003457104638157,0.14395230426952024,0.13824236647562976,0.13287340231546407,0.1278207764575501,0.12306333091204924,0.11857177146978032,0.11432463845071367,0.11030398679293976,0.10649176714859078,0.10287730685910253,0.09944609497078963,0.09618418030414277,0.09308113025931576,0.09012933172092157,0.08731690162432823,0.084633435515013,0.08207080764777776,0.07962301339751043,0.07728259290741883,0.07504349304921373,0.0728982709619558,0.07084155506059754,0.06886970643826622,0.06697755395664681,0.06516145024306184,0.06341658360248766,0.06173971559604489,0.06012793354296665,0.05857789956600751,0.057086116188078184,0.055649678070976316,0.05426493230733863,0.052929396831063236,0.05164027372177847,0.05039566180126201,0.04919319643110656,0.048030952329751506,0.046907152472993166,0.04582022774257486,0.04476859829683023,0.04375178390706725,0.04276801433864233,0.04181601394543466,0.0408937054513755,0.039999330053994184,0.03913226280842936,0.038291781748425076,0.03747688839907224,0.03668571707463879,0.03591807732282361,0.03517265281959246,0.03444908179694241,0.033745869222027,0.03306242460572435,0.032397847297347335,0.03175144506158172,0.031122405864839484,0.030510291129924948,0.029914597225595207,0.0293343473292115,0.028768969303775264,0.0282179672575484,0.027680973193905375,0.027157537487943847,0.026647309067564365,0.026149842327201245,0.025664586109602015,0.02519112732609452,0.024729034985895834,0.024277876430835718,0.02383733086350807,0.023407157580585796
7,0.5664322188655644,0.5150479805690029,0.4704149836887994,0.43136182549222263,0.39696773489211645,0.366499483871748,0.33936637317089346,0.31508760371201855,0.2932842169991218,0.2736278098282371,0.2558554779751489,0.23972081819309377,0.22502948847884002,0.21161555796966572,0.19933268247448896,0.1880642745844858,0.17771230128540372,0.16816983821997855,0.15935308159439243,0.1511898162551989,0.14361295192536533,0.136571786732937,0.13002225342450172,0.12392384467692598,0.1182331262313254,0.11291335787034384,0.10793221644546198,0.10326388864940667,0.09888587998114405,0.09476954260096589,0.09089327498263977,0.08723877620045259,0.08378809960383335,0.08052959555689924,0.07744874039358655,0.07453174516356899,0.07176788567833522,0.06914889193744421,0.06666331805804676,0.06430108595768798,0.0620541019260705,0.05991607315430453,0.057879701617364755,0.05593891497662992,0.054086719313905844,0.05231781857877643,0.05062831007601143,0.04901323395091832,0.04746885232199688,0.04599063053424287,0.0445752847688717,0.04321982345753823,0.041921007368700684,0.0406755618858407,0.039480669538854346,0.03833300278409352,0.03723016738731334,0.03616956483194848,0.03514930588126034,0.03416718169860566,0.03322135633545789,0.03231012300930374,0.03143194155321559,0.030585312935211585,0.029769532440732726,0.028982975395656217,0.028224424991784874,0.027492092388126114,0.02678445333849069,0.026100785836783005,0.025440330920413118,0.024802140656977424,0.024184684181314718,0.023587606514733246,0.023009779138186977,0.022450744195035992,0.021909289607207,0.02138483048794,0.020876572941406036,0.020383874670026506,0.019906033113392667,0.019442602328953538,0.018993086069255486,0.018556697926797792,0.018132927613140518,0.017721322044322137,0.017321516080829616,0.016933095858236893,0.01655571162126081,0.0161889674038498,0.01583240569406681,0.015485656760525365,0.015148347520913237,0.014820107919958575,0.014500644201159608,0.014189718660778934
8,0.5422118340538449,0.4889151273765837,0.44287349908968815,0.4028096254108855,0.36772111444024674,0.3368111284768516,0.3094389033352961,0.2850838947502147,0.26333396503191103,0.24383459151445705,0.22630081182541173,0.21047075566194987,0.19613613480878397,0.18311938089733196,0.17126516198141886,0.16044839273162753,0.15056336140054521,0.1414997378758035,0.13316992533097505,0.12549835308728283,0.11841575969606796,0.11186837042322792,0.10580926959997584,0.1001957703595614,0.09498402351786757,0.09013672371086098,0.08562085973341005,0.08140967186828549,0.07747961045032369,0.07380276996480742,0.07035756537236607,0.06712552399478479,0.0640889348844364,0.06123545830204628,0.058550668642147786,0.05602103474232589,0.0536357135823217,0.05138600497238313,0.049261011889362605,0.04725107559548791,0.045348264981361845,0.04354620692482162,0.041837863931815364,0.04021721452304922,0.03867777355373506,0.03721441237929885,0.03582314439621918,0.03449925225325662,0.03323904672767909,0.03203830755824326,0.03089379661524136,0.02980259006974738,0.028761584655008523,0.027767770436753405,0.026818489289884784,0.025910747265789926,0.025042294284418412,0.024210781599947582,0.023414408096093166,0.022651150892937403,0.02191930534114946,0.021217281399079073,0.02054361854504894,0.019896935038405245,0.019276398487740844,0.018680567482344125,0.018108322138177153,0.017558152305091307,0.01702877936215556,0.016519472420244746,0.01602947167152506,0.015557926842680939,0.01510359009722921,0.014666017443469764,0.014244277894300446,0.013837888425100952,0.013445874611787381,0.013067689794382626,0.012702667113118305,0.012350235435308134,0.012009797758938763,0.011680940286244657,0.011363220713401151,0.011056006963099965,0.010758861396029133,0.010471388073061704,0.010193252971311479,0.009924097437141078,0.009663605210861723,0.009411440605531226,0.009167228420516958,0.008930653119012168,0.00870140563153029,0.00847918385614079,0.008263735697537447,0.008054844160768524
9,0.5279290007226639,0.47354376045688296,0.42671480791534955,0.3861005650866311,0.3506492098177363,0.31952545271002936,0.29205832661518244,0.2677033625211435,0.24602841790836358,0.2266634675173346,0.2093103290997077,0.1936979447147299,0.17960972139937068,0.16686130000418095,0.15529209313143325,0.1447720046403224,0.13519083672992216,0.12643635551431054,0.11841875862385436,0.11106055677886306,0.10429129834417314,0.09805547805786476,0.09230458313731542,0.08699473335446206,0.08208182971116808,0.07752825940524913,0.07330075146193685,0.06937200468481881,0.06571792417434631,0.06231113957957826,0.059130107248285754,0.056156301890644474,0.053372173797823295,0.050764973315346976,0.048320401927408475,0.0460251466840688,0.04386833497255659,0.04184105960542613,0.039932783638413856,0.03813413434099303,0.0364373022948513,0.0348358823691825,0.03332302047739378,0.03189277049984084,0.030538954236848347,0.02925655939349775,0.028041568608297155,0.026889435645686764,0.025796510665898185,0.024758777153383104,0.023773049412481775,0.022836433342128024,0.021945950255280317,0.021098746602126087,0.02029226812637497,0.019523747276011857,0.01879102958489634,0.018091921000313062,0.017424672725230083,0.016787396458895543,0.01617847216643403,0.015596389127830224,0.015039754437644617,0.01450725572167451,0.01399800287511897,0.013510673550290403,0.013044206767856361,0.012597267908570341,0.012168714440719989,0.0117578174845725,0.01136382822197244,0.010985954961753157,0.010623124307635458,0.010274854846843307,0.00994032757916121,0.009619049942674825,0.009310191674381504,0.00901323549030038,0.0087275867396143,0.00845272869519976,0.008188129849156466,0.007933395182063674,0.007688119843418091,0.007451766193750128,0.00722394128685662,0.007004285298414174,0.00679248605289307,0.006588220067006727,0.006391196858397086,0.0062011163101406315,0.006017653448009799,0.005840528944347815,0.005669472506071031,0.00550422223950363,0.005344552821477134,0.005190263553992855
