,gamma5,gamma6,gamma7,gamma8,gamma9,gamma10,gamma11,gamma12,gamma13,gamma14,gamma15,gamma16,gamma17,gamma18,gamma19,gamma20,gamma21,gamma22,gamma23,gamma24,gamma25,gamma26,gamma27,gamma28,gamma29,gamma30,gamma31,gamma32,gamma33,gamma34,gamma35,gamma36,gamma37,gamma38,gamma39,gamma40,gamma41,gamma42,gamma43,gamma44,gamma45,gamma46,gamma47,gamma48,gamma49,gamma50,gamma51,gamma52,gamma53,gamma54,gamma55,gamma56,gamma57,gamma58,gamma59,gamma60,gamma61,gamma62,gamma63,gamma64,gamma65,gamma66,gamma67,gamma68,gamma69,gamma70,gamma71,gamma72,gamma73,gamma74,gamma75,gamma76,gamma77,gamma78,gamma79,gamma80,gamma81,gamma82,gamma83,gamma84,gamma85,gamma86,gamma87,gamma88,gamma89,gamma90,gamma91,gamma92,gamma93,gamma94,gamma95,gamma96,gamma97,gamma98,gamma99,gamma100
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9185590827787335,0.9069753251093424,0.8962697940967674,0.8863178757217843,0.8770827986097326,0.8685987389101971,0.8608804046199181,0.8538344155543424,0.8473363064227027,0.8413031985593378,0.8356598808469968,0.8303330840415916,0.8252824858162736,0.8204700364058872,0.8158702620447633,0.8114672969837629,0.8072362137954696,0.803159452991785,0.7992222700977972,0.7954144917441617,0.791722302984804,0.788135588431408,0.7846426268948018,0.781237253494443,0.7779093827722114,0.7746473938738647,0.7714504778347097,0.7683128640985628,0.765231366479855,0.7622075056269314,0.7592348453871435,0.7563109594814095,0.7534323223506373,0.7505982071526386,0.7478055166083355,0.7450508102031078,0.742332913898875,0.739655543139396,0.7370154799099107,0.7344089533516781,0.7318333438101916,0.7292902835459453,0.7267851954944976,0.7243138011798289,0.7218694658276485,0.7194505105545789,0.7170564847412134,0.7146848125989852,0.7123369465740004,0.7100162854938665,0.7077288675239176,0.7054626273540201,0.7032171199016368,0.700990477349501,0.6987829952410454,0.6965961550081736,0.6944310199156334,0.6922885240909343,0.6901657325147011,0.6880657422651959,0.6859820868484422,0.6839144368216528,0.6818625177373226,0.6798260730698625,0.6778034147195009,0.6757949456081631,0.6738011048136534,0.6718199128179189,0.669851858493213,0.6678962962228211,0.6659648218603961,0.664055723335378,0.6621585801133938,0.6602819420375706,0.6584311742605322,0.6565972365587646,0.6547784642347525,0.6529710758690668,0.6511749469277506,0.6493907070275834,0.6476172707822982,0.645853510965613,0.6440995302165453,0.6423551351469846,0.6406202236546399,0.6388945150043925,0.6371771129359732,0.6354684654630327,0.6337686789000901,0.6320777709793588,0.6303964522224349,0.6287242287797878,0.6270618218949234,0.6254156136910062,0.6237817916768708,0.6221586138539221
2,0.8344442565620407,0.8118938096058466,0.7913045334990272,0.772369506722911,0.7549038340609069,0.7387534822228036,0.723820735214345,0.7099993914258667,0.6971364947857239,0.6851214543372348,0.6738389558199397,0.6631766621617227,0.653069052481168,0.6434472555384285,0.6342649949686824,0.6254879267150079,0.617073728989573,0.6089911650883784,0.6012118132043167,0.5937157456056819,0.5864777929169944,0.5794789209726718,0.5726985834885239,0.5661243858041333,0.5597399824537123,0.5535271455951383,0.547481351122192,0.5415911533540795,0.5358499953616553,0.5302556337231172,0.524796266252571,0.519466172349056,0.5142585896398886,0.5091701215785484,0.5041924154067645,0.4993189361560517,0.4945461074932186,0.48987440449118386,0.4853013052581705,0.4808190037911597,0.4764227145312713,0.4721130377578409,0.46789045251622,0.4637504395957269,0.4596855272550014,0.4556916627794788,0.4517663016062458,0.4479059213058766,0.4441098826327076,0.4403788984668412,0.4367151591337835,0.4331098767935486,0.42956258821981647,0.4260696264727887,0.4226300889494521,0.419243376545549,0.4159076449361879,0.4126215852923634,0.4093833595840273,0.4061927619770457,0.403047586717208,0.39994643263144464,0.3968891746885855,0.3938753170504191,0.39090136420772403,0.3879664285416881,0.3850709976994833,0.3822138210698838,0.37939329350604156,0.3766093187538906,0.3738621243518654,0.3711507844243988,0.3684726907340233,0.36583316328527776,0.36323183019434,0.36066242068306337,0.35812457779971574,0.3556164003914392,0.3531390080237462,0.35069059288289317,0.3482703095444752,0.34587690694123374,0.34350999476085936,0.341168990188358,0.33885389082955414,0.3365641234973139,0.3342982795315684,0.33205612829949577,0.3298384700114917,0.32764529358216354,0.325476188880641,0.32333059272386416,0.32120900818583825,0.3191115102890505,0.31703643067854387,0.3149830992021502
3,0.7519098913361366,0.7198414611378896,0.6909838071402064,0.6648070092809497,0.6409515199302435,0.6191007172040595,0.5990388446422035,0.5805553688871259,0.5634481137988601,0.5475501612199765,0.5327099491330155,0.5187873173262377,0.5056799518448859,0.49330233424275116,0.48158554386022734,0.47047431540726814,0.4599110692650211,0.4498488855309864,0.44024545401288995,0.43106758138827045,0.422279357593859,0.41385206373936934,0.40575694915652494,0.3979733010801909,0.39047753901833526,0.3832471258144249,0.3762696577119382,0.36952842457063745,0.36300973153822785,0.3567044405229251,0.3505995876523658,0.3446827927116129,0.3389444526413562,0.33337609170413934,0.3279689187912772,0.32271487407676647,0.31760750491207546,0.31264097763798115,0.3078093524520724,0.30310650191737826,0.29852600733999957,0.2940636465087459,0.28971468085564867,0.28547452430280534,0.28133855000089575,0.2773018290378184,0.2733600763052072,0.2695093187914125,0.26574675647997315,0.2620695420232749,0.2584753559864094,0.2549604788860699,0.251522040239465,0.2481570119145174,0.24486303698683778,0.2416378967457566,0.23847932696056365,0.2353850690326523,0.23235319883093972,0.22938194530323866,0.22646898719924566,0.22361291518644458,0.22081229153747936,0.21806604180930114,0.21537167554777734,0.21272754167890603,0.21013290459237893,0.2075861637442889,0.20508552211979542,0.20262995439417633,0.20021811860042207,0.19784894337818604,0.19552128878755254,0.19323511626577514,0.19098885127727655,0.18878066502568033,0.18660974590716967,0.1844749821125247,0.18237598454599396,0.18031159019501752,0.17828100538465388,0.17628306120972104,0.17431722051177426,0.1723826444608115,0.17047892486247712,0.16860515448957503,0.16676015617561507,0.16494341197780876,0.16315493667850958,0.1613942517400666,0.15966037092531102,0.1579529393472549,0.15627145478624888,0.15461530501217555,0.15298368241484486,0.1513760911077008
4,0.6761643074666339,0.6365848330088989,0.601512952863792,0.5701667594504048,0.5419894179058319,0.51649951555699,0.49336399894405314,0.4722646337512581,0.4529321310406512,0.4351436160761999,0.41869966203246617,0.4034258300442435,0.3891863612081514,0.3758713735626313,0.36338967410845474,0.3516650513196573,0.34062408170815184,0.33020421172960146,0.3203506266467745,0.3110178615937329,0.3021597783130618,0.29373893952988395,0.28571923862270915,0.27807287331493025,0.2707699955004298,0.26378386532830467,0.2570965195117618,0.2506865084339734,0.24453565152117568,0.23863080044772284,0.23295636284103094,0.2274968484289929,0.22223995535730565,0.2171745347454852,0.212290181961656,0.2075771065981404,0.20302672900531046,0.19863070024056842,0.19438160978365365,0.19027259043442193,0.18629621899655785,0.18244630377951837,0.17871695499772386,0.1751023945804379,0.1715976634583728,0.16819773323089965,0.16489756684943704,0.16169276881600034,0.15857964678556172,0.15555437520326187,0.15261350588976294,0.14975378202530606,0.14697158578294667,0.1442638980472498,0.14162792587623002,0.13906096217042072,0.13656045845997664,0.13412387503050263,0.1317490111498276,0.12943368499225022,0.12717541838149587,0.12497259030889672,0.1228232951444923,0.12072587754098867,0.11867841316995947,0.11667916281760198,0.11472664598693326,0.11281920623412485,0.11095534002949374,0.10913376938471357,0.10735306291478726,0.1056120471373234,0.10390954553645677,0.10224450809353837,0.1006155275224682,0.0990215011020734,0.09746148328453338,0.09593444419755814,0.09443952093633132,0.09297579111577563,0.0915424690933261,0.09013849625596147,0.08876315218723284,0.08741559894507629,0.08609525044715019,0.08480129451542096,0.08353276091135949,0.08228906017511235,0.08106976878471871,0.07987432848243436,0.07870197356849021,0.0775522810201507,0.07642465262203609,0.07531846994869217,0.07423309628523288,0.07316803697265446
5,0.6083606647822389,0.5630597515488377,0.5235251497094906,0.48870822623993715,0.45784377048149744,0.43028886997614046,0.4055876719715433,0.3833225514555504,0.36315309160154097,0.3447977433603199,0.32801253232279054,0.3125897484871339,0.2983639893092153,0.285200106985522,0.27298538026056685,0.26162610798437147,0.251032759566871,0.24113008633021837,0.23185353572217096,0.22314839106766465,0.21496010766593815,0.2072444266623224,0.1999597585321668,0.19307262452394353,0.18654964490154807,0.1803608122714973,0.17448448257582785,0.16889618964585698,0.16357507862756102,0.1585055541534206,0.15367021789249677,0.14905188866061633,0.14463670003209503,0.14041212517462598,0.13636674812920999,0.13248991068879912,0.1287719938508928,0.12520371953481602,0.12177696041012011,0.11848438555493358,0.11531818653861474,0.11227155718031875,0.10933835855912107,0.10651242874113713,0.1037885609262599,0.1011617053466419,0.09862673089477343,0.09617917233958939,0.0938151382637737,0.09153067246890019,0.08932214650977292,0.08718634925434778,0.08511968578914599,0.08311918767117961,0.0811820557167513,0.07930556544233527,0.07748718896423869,0.07572444625526366,0.07401514628061151,0.07235712488208565,0.0707480682876389,0.06918632246527781,0.06766999482407919,0.06619734491084253,0.06476666661261135,0.06337640960703685,0.06202504422611378,0.060711057908659036,0.059433106953569105,0.05818992258649535,0.056980240510803366,0.055802951035037456,0.05465694106285503,0.05354112366636969,0.052454315920837956,0.05139559078870789,0.05036405457941597,0.049358788571555276,0.04837894121046073,0.04742371295405019,0.04649238316915783,0.045584065507261386,0.044698047707224395,0.04383360080840885,0.04299013918512056,0.04216701958043272,0.04136346023332058,0.04057890445714939,0.03981290428723862,0.0390649560048221,0.03833444821253455,0.03762096969114209,0.036924006716266465,0.036243061670792484,0.03557761986064563,0.034927236346432945
6,0.5504686380512174,0.5010624072490719,0.4585576794755649,0.4216445841188381,0.38935592318573964,0.36089931579744755,0.3357004223060295,0.3132545710008853,0.29315391028219484,0.2750628357440381,0.25870001221966854,0.24382879139026722,0.23025862808288564,0.21783246117926097,0.20641926592225296,0.1959111096652221,0.18620550707624073,0.17721858529573864,0.16887822552627343,0.16112385567921164,0.1538950248233047,0.14714296077415204,0.14082274090349534,0.13489724469663933,0.12933162701351839,0.12409394508140735,0.11916031544801278,0.1145051453227908,0.110106334338605,0.10594721952150599,0.1020096907893626,0.09827603819623139,0.0947318625255041,0.09136421310737532,0.08816143850467026,0.08511278898294974,0.08220847545015018,0.07943914121645196,0.07679666687507597,0.07427377424770162,0.07186276160505821,0.06955696371172701,0.06735040963691712,0.06523715509628444,0.0632121243658142,0.061270499768972225,0.05940746241308018,0.05761879892394943,0.05590078864643991,0.05424973922930296,0.052662244863158424,0.051135271653721545,0.04966555743355675,0.04825037039397408,0.04688714653183859,0.04557339309241042,0.044306808021592016,0.04308516620946827,0.04190647819874988,0.040768800293885556,0.03967012585836701,0.03860892973226669,0.037583542343838976,0.036592404028552586,0.03563404081052116,0.03470712333371841,0.03381030964222439,0.03294231426081568,0.032101986779431914,0.03128821711938311,0.03049995609320872,0.02973624211757683,0.028996126429471553,0.02827869610288665,0.027582986905489368,0.026908217495140305,0.026253628909311377,0.025618460194674612,0.025001996694930702,0.02440357945706752,0.02382260263730332,0.023258368921204572,0.022710280974426726,0.022177752077920797,0.021660286394289525,0.021157397298865174,0.020668469332419056,0.020193036948028525,0.01973074323535463,0.019281177635068668,0.01884385530617193,0.018418439800589593,0.018004526071822225,0.017601727178644295,0.017209648748933375,0.01682794541329902
7,0.5030977106401279,0.4508525057653771,0.40646973146429954,0.36840262027429266,0.3355031726494985,0.3068489052850759,0.28176079249883546,0.25966055590366227,0.2400825117116241,0.22264587320760962,0.20703866584785166,0.1930011216899655,0.1803225292767728,0.16882899810039032,0.15837541077089154,0.14884273758576633,0.14011989712206616,0.13211720557016815,0.1247571865746376,0.11797558105148122,0.11170866471661628,0.10590494307607301,0.10051810679482773,0.09550932137020819,0.09084328645580292,0.08648718966911613,0.08241589774330274,0.07860405078456945,0.07502934262759646,0.07167484001297308,0.06852252318882184,0.06555501637757147,0.06275810540830887,0.06011900019267553,0.05762630666819587,0.05526958890718935,0.053039380273257365,0.05092670641098161,0.048923876128756,0.047023951502926556,0.04521967300463808,0.043504830491652983,0.04187381333945464,0.040321182072627214,0.03884222605384819,0.03743251778266782,0.03608771469755147,0.0348040012563422,0.03357798452173552,0.032406372500970025,0.03128612922719974,0.0302144991155888,0.02918864810495727,0.028206162728318915,0.02726478316658465,0.02636234584258899,0.02549684773469841,0.024666377933060195,0.02386921294047498,0.023103690408718805,0.022368134791933454,0.021661211785869376,0.020981523046963754,0.020327754727614562,0.01969867814893155,0.019093181903485676,0.018510157535346308,0.017948552265559994,0.017407418598271638,0.016885844880657096,0.016382986403975352,0.015898043946400948,0.015430250281303829,0.014978876669537693,0.014543162746004323,0.014122475939664939,0.013716205610609766,0.013323749177496009,0.012944541052474879,0.012578061659440485,0.012223829989800464,0.011881311493341677,0.011550037507222246,0.01122955695871067,0.0109194829232866,0.010619458570267325,0.010329007867357961,0.010047767120533423,0.00977546622170071,0.009511791763534918,0.00925637351776053,0.009008959778195465,0.008769240440748007,0.008536917583235501,0.008311701330911383,0.00809334620414377
8,0.46766668522692206,0.4135910309778816,0.36811178420921964,0.3294916835541578,0.2964390771306575,0.26792969405985967,0.2432024315459324,0.22162199933203977,0.20267915864822067,0.1859592723305911,0.17112719321307165,0.15790630622296695,0.14607115314647653,0.13543619905802542,0.12584661130178879,0.11717579736223659,0.10930770518934096,0.10214875532959822,0.09561814944105336,0.08964921910642404,0.0841771095410648,0.07914892553227947,0.07451810256527011,0.07024520448755849,0.06629490859922613,0.06263439676363138,0.05923805400757957,0.05608119583393471,0.053141867460704664,0.0504031531508673,0.047847479826664575,0.04545824129259298,0.04322173335090759,0.04112558709418305,0.03915886056717605,0.03731156023249483,0.035574692878960805,0.033939851451908074,0.0323998362851306,0.030948114049899327,0.02957798501433369,0.02828372591707526,0.02706014424779335,0.02590232029911508,0.024805960915499078,0.023767046951796454,0.02278170058680968,0.0218465026791237,0.020958399816862344,0.020114476641848192,0.019312059262039657,0.018548687466829302,0.017821917753985863,0.017129638110977403,0.016469874196170704,0.015840767150233578,0.015240592007410035,0.014667720173472773,0.014120674690605406,0.013598047561075946,0.01309844566683053,0.012620720598494381,0.012163710266101196,0.011726321857018456,0.011307537681625535,0.010906432413322202,0.01052209983691538,0.010153681863324411,0.00980040396534931,0.009461527106917786,0.00913637201480672,0.008824282585115004,0.008524641910541099,0.008236867639832716,0.00796036730440013,0.0076946350416531185,0.007439185945844546,0.007193547474733164,0.006957276655043814,0.006729968399667803,0.006511247104490477,0.006300701351410552,0.006097970059081231,0.005902709128314911,0.005714621475496446,0.005533436408154018,0.005358796533816692,0.00519042399463493,0.005028105882149126,0.004871608016127453,0.004720657940444378,0.004575070838540853,0.004434611931088088,0.004299056759343291,0.0041681974145456185,0.004041856493566612
9,0.44493169833352925,0.38978390429388704,0.3437086039406229,0.3048414516495383,0.27179575569786707,0.2434803095106467,0.2190799760813285,0.19792196532596312,0.1794695513838642,0.16328639928265712,0.14902211577756022,0.13638945765369107,0.12515365889970081,0.11512206030746147,0.10613408724684688,0.09805864566196443,0.09077712950288516,0.08419343742661292,0.07822489963587505,0.07280316906717896,0.0678634660885313,0.0633523036868581,0.059223132096109916,0.05543632961431604,0.051956573563800505,0.04875147219330781,0.04579530816940366,0.04306395268752541,0.04053587119343078,0.03819413510079615,0.036021602413828374,0.03400239152064213,0.032123245111035426,0.03037219663823723,0.028738679842092878,0.027213052339640966,0.0257866968477692,0.024451662921851573,0.02320109867448677,0.022028778226562754,0.020928459671805094,0.019894763789760052,0.018922829607043605,0.018008118787122912,0.017146647964479723,0.01633470051970915,0.015568734270510056,0.01484561528632744,0.014162537796039048,0.01351685008365477,0.012906132767375341,0.012328151563143878,0.01178073576805572,0.011261986346895323,0.010770132668395252,0.010303525900364057,0.009860637175829563,0.0094400329586006,0.009040409392729357,0.008660535746070987,0.00829921085171308,0.007955418663824508,0.0076281585172605715,0.007316490218929658,0.007019540221468186,0.006736510800801664,0.006466633472706757,0.0062091810411899154,0.005963496404839587,0.0057289581270246375,0.005504993338685295,0.005291048907149024,0.005086608707894339,0.004891186778135728,0.004704302940241685,0.004525537003093685,0.00435448930313296,0.004190774076128271,0.004034030328367812,0.0038839276994932677,0.0037401604080148504,0.0036023995221433395,0.003470355721688955,0.0033437556450550583,0.003222360785225909,0.0031059465848354956,0.0029942425154297187,0.0028870284663947156,0.002784126181934435,0.0026853517087929994,0.0025905015786029653,0.002499427777528158,0.002411948025007153,0.0023278910223177274,0.002247101829163859,0.002169444412002587
