,gamma5,gamma6,gamma7,gamma8,gamma9,gamma10,gamma11,gamma12,gamma13,gamma14,gamma15,gamma16,gamma17,gamma18,gamma19,gamma20,gamma21,gamma22,gamma23,gamma24,gamma25,gamma26,gamma27,gamma28,gamma29,gamma30,gamma31,gamma32,gamma33,gamma34,gamma35,gamma36,gamma37,gamma38,gamma39,gamma40,gamma41,gamma42,gamma43,gamma44,gamma45,gamma46,gamma47,gamma48,gamma49,gamma50,gamma51,gamma52,gamma53,gamma54,gamma55,gamma56,gamma57,gamma58,gamma59,gamma60,gamma61,gamma62,gamma63,gamma64,gamma65,gamma66,gamma67,gamma68,gamma69,gamma70,gamma71,gamma72,gamma73,gamma74,gamma75,gamma76,gamma77,gamma78,gamma79,gamma80,gamma81,gamma82,gamma83,gamma84,gamma85,gamma86,gamma87,gamma88,gamma89,gamma90,gamma91,gamma92,gamma93,gamma94,gamma95,gamma96,gamma97,gamma98,gamma99,gamma100
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8863478345264535,0.8707235928903124,0.8564244235780617,0.8432296163062019,0.8310268092708679,0.8198094699808556,0.8094229332001541,0.7997765298015479,0.7908249959319057,0.7825084360779769,0.7747799366877981,0.7675509929830532,0.7607645825866108,0.7543689720770167,0.7483121548156698,0.7425729508787543,0.7371141481649317,0.7318996639502189,0.7269017834084797,0.7221088943748433,0.7174975647700043,0.71305123472523,0.7087630308525047,0.7046293781622651,0.7006340115564932,0.6967569331195815,0.6929895643330104,0.6893217042271201,0.6857505697301273,0.6822760652893604,0.6788926276027103,0.6755944998228378,0.6723743632937674,0.669230122996053,0.6661592427609211,0.6631562502665891,0.6602153867134432,0.657340390923687,0.6545233605797908,0.6517667940446845,0.6490642214664564,0.646413156912295,0.6438096807208926,0.6412508830342426,0.6387361734568863,0.636266919644542,0.6338397390201614,0.6314526173231937,0.6291025502448505,0.6267893884528302,0.6245145427055646,0.6222736367876865,0.6200635049582434,0.6178849259084579,0.6157380579956568,0.6136233881649081,0.6115371990282769,0.6094822273922932,0.607456276793358,0.6054603136114285,0.6034947977213272,0.6015559576647216,0.5996394660157288,0.5977446813623067,0.5958704960046346,0.5940189990235171,0.5921873935664721,0.5903770632080145,0.5885857223938885,0.5868133978896147,0.585059834482075,0.5833229882749024,0.5816030080532422,0.5798986883200523,0.5782107463911929,0.5765376970598728,0.574878222468439,0.573232319774698,0.5716011281036848,0.5699861946374237,0.5683867486202522,0.5668011883579385,0.5652281294978845,0.5636657953528158,0.5621151562592326,0.5605774617142564,0.5590506407681064,0.5575345203504299,0.5560318500858943,0.5545401437173154,0.5530600986920041,0.5515898039125421,0.5501288231856796,0.5486768463949544,0.5472342017613204,0.5458028405763374
2,0.7837636791097754,0.7556046522895008,0.7302219450084638,0.707141059323544,0.6860497295813955,0.6667552691913413,0.6489861872917886,0.6325256715854087,0.6172473816384654,0.6030413800112758,0.5898044331571293,0.5774149906076194,0.5657824680214608,0.5548247664157648,0.5444649396547223,0.5346593819860452,0.525350707204725,0.516484367398313,0.508017649886884,0.4999250081524825,0.49217006386528467,0.4847253771647769,0.4775737125218738,0.4707016335347834,0.46408545339314583,0.4576994663301106,0.4515287541817555,0.4455569907273387,0.4397755431168116,0.4341787651256358,0.4287556891285154,0.42349647210223845,0.4183891555491196,0.4134283897633243,0.40860866733848433,0.4039210860496885,0.3993568722564673,0.39491561103737716,0.39058705676326566,0.3863703031652166,0.3822579717504059,0.3782445517925221,0.37432392721031166,0.3704918739214567,0.36674656830889785,0.36308634608135754,0.3595076756274463,0.3560067938633012,0.35257892054188655,0.34922235408788077,0.3459356576718323,0.3427143628761621,0.33955524134188086,0.33645674039866386,0.33341841804600103,0.33043871152836435,0.3275134506025319,0.3246425807112047,0.32182378113045707,0.3190556616456726,0.3163388472935737,0.31366933476016085,0.3110441845050065,0.3084622494016433,0.30592183092331726,0.30342228291636136,0.30096223838880576,0.2985408356775812,0.29615661311341507,0.29380918103271914,0.29149735377950103,0.28921940856381,0.2869747431451643,0.28476208733160324,0.28258125490453395,0.2804307450689161,0.2783091763602793,0.2762161446224242,0.2741514389169862,0.27211479770888164,0.27010554185909685,0.2681229307330104,0.26616578021291,0.26423252666377045,0.2623233989144685,0.26043813573496005,0.25857544457240866,0.2567349494097073,0.2549168831171293,0.2531204179964058,0.25134569770067783,0.24959147148419958,0.24785711869405036,0.24614216447201354,0.24444614512362423,0.2427689937480887
3,0.6964459703624089,0.6589634979973192,0.625678775978225,0.5958500407037974,0.5689571340746054,0.5446254792549664,0.522457339421672,0.5021352111908445,0.4834433839317973,0.46620839020758287,0.45027101077676557,0.4354694961945196,0.42167997081925673,0.40878959971393375,0.3966975185476345,0.38533854494118197,0.37463664537871233,0.3645241851781731,0.35494525895517043,0.34586018676298536,0.33722312596926524,0.3289974210458141,0.3211558958435144,0.31367548761988673,0.30652678510814396,0.2996804340691342,0.29311583485240617,0.28681242097910165,0.28075599477094065,0.27493476816229934,0.2693338500037403,0.2639399916057307,0.2587387388928297,0.2537213926379554,0.2488792819793183,0.24420184128115444,0.23967868785980237,0.23530479434872068,0.23106969751175158,0.2269685759555342,0.22299415454392468,0.21913951479047375,0.21539788419436254,0.21176412427918886,0.2082346382833811,0.20480547380475683,0.20147252935219923,0.1982315048975897,0.19507734211401695,0.19200689701788623,0.18901667974156372,0.18610295010736394,0.18326246860792297,0.18049249450207394,0.17779134565699525,0.17515633191820384,0.17258394404201544,0.170072385252546,0.16761937324012827,0.16522282997867924,0.16288206214842077,0.16059398381068857,0.15835633309461103,0.15616758803640465,0.1540258420021167,0.1519296903375323,0.1498778031785439,0.14786872071461588,0.14590101299428246,0.1439737509074791,0.14208539083506336,0.1402344965895758,0.13841998816067283,0.13664075758996125,0.13489595931586518,0.13318441833324382,0.13150484114905922,0.12985642017918622,0.12823841063080008,0.1266499053764522,0.1250902855307714,0.12355894049648813,0.12205490127002243,0.12057695916961952,0.11912482444754191,0.11769779514075149,0.11629494877057774,0.11491564168321947,0.11355942753213429,0.11222580700220036,0.1109144138962708,0.10962454353917124,0.10835559187146285,0.10710703173463827,0.10587827343238593,0.10466885187500748
4,0.6262847248382496,0.5823543455576051,0.5438836426611549,0.5098737374173045,0.4796065419736831,0.45254053638753194,0.4281618073367809,0.4060652276721939,0.38595516534607555,0.3675979941996265,0.35078538086617006,0.3353162866785497,0.3210382086448766,0.30781253873236336,0.29551834459159904,0.28407042312854547,0.2733773356440739,0.26336131879275276,0.2539557380458255,0.24511028759810702,0.23677156882196485,0.228895749378421,0.2214483112803413,0.21439942688856883,0.2077155760007625,0.20136472979461706,0.19532243049710157,0.1895651589201547,0.18407508149169344,0.1788367596060054,0.1738329896517654,0.16904854830072208,0.1644676758760702,0.16007947221503457,0.15587337742168306,0.1518378036113052,0.14796160908080014,0.14423767993198724,0.14065558392000085,0.1372088352648361,0.13388981098944633,0.13069113444689914,0.12760584852096954,0.12462822127195557,0.12175378283324742,0.11897787813447638,0.11629586678815404,0.11370321192314857,0.11119501556809555,0.10876764083594255,0.1064172155290861,0.10414009384952147,0.10193293982595751,0.09979282155903392,0.097717488435819,0.09570407465462652,0.0937494025524837,0.09185126536470606,0.09000732686049598,0.08821549974775322,0.0864745283936194,0.08478177996066598,0.08313519204966763,0.08153312989916996,0.07997376719123624,0.07845559201426269,0.07697720220388847,0.07553712371226246,0.07413397381503692,0.0727666557773413,0.07143369803916495,0.07013375857258433,0.06886575938458073,0.06762867035252468,0.06642153171941496,0.06524330478188768,0.06409284612403436,0.06296928820529972,0.06187185383479785,0.060799650794424065,0.05975201782280391,0.05872829136461893,0.05772766037397243,0.056749183877535386,0.05579240330997223,0.054856639382978724,0.053941140656742416,0.05304527721269352,0.052168549441102274,0.05131047817009774,0.05047060794128307,0.04964837121068255,0.04884324602679726,0.04805474847235332,0.04728236537489062,0.046525644007609064
5,0.5596846742239091,0.5107049852975225,0.468481496854893,0.43172581310625874,0.39950004295317976,0.3710828141244342,0.3458351571548241,0.32325937197221927,0.30297790940534924,0.2846926522433505,0.2681487332540576,0.25310474189373694,0.23937707363070357,0.2268047446992879,0.21524853780483644,0.2046051436348732,0.19476809170489742,0.18565114950313488,0.1771789300885293,0.16929283877764903,0.16193262001483288,0.15504890454203996,0.14860195121166858,0.1425574547481055,0.13687902724824258,0.13153235140847105,0.12649085364282492,0.12172919280343049,0.11722725644180296,0.11296787793806658,0.10893302563824264,0.10510647436988894,0.10147216192815645,0.09801813054084592,0.09473321033664152,0.09160563295529328,0.08862426227175209,0.08578128262329182,0.08306648678481662,0.08047300128580438,0.07799337445370265,0.07562020585186932,0.07334684968168209,0.07116763172260206,0.0690779878601744,0.06707326430672257,0.06514892560309152,0.0633006358485264,0.06152384694452552,0.05981506063738727,0.05817064195518658,0.0565872075897485,0.055061646094935905,0.05359124058953351,0.052173762931015194,0.050806588881298534,0.04948694493238006,0.04821274829052336,0.0469818976054831,0.045792516637233535,0.04464330490731696,0.043532047694337786,0.042456975520580455,0.04141662034722349,0.04040942430321675,0.03943401622032159,0.03848915545548995,0.037573571965666304,0.036686080695553486,0.03582567950303628,0.0349911485965094,0.03418137088711418,0.03339542953702672,0.032632466223301806,0.03189164493205445,0.031172091735034782,0.030472911439623062,0.029793381878006866,0.029132839698583338,0.028490560775162398,0.02786596450977605,0.02725847257164465,0.02666746414144421,0.026092243851454797,0.025532381728645127,0.024987338711004368,0.024456540505531987,0.023939493099112204,0.023435785159327347,0.02294502121637109,0.022466814437983117,0.022000733139178903,0.021546381503565578,0.021103384970403614,0.02067136019075213,0.02024995669215323
6,0.5062927934004827,0.4538675273256695,0.40928331855994776,0.37099355525463107,0.33786437703742156,0.30902030936233427,0.2837156198122867,0.26137265443249974,0.24154489807169033,0.22388003294628123,0.2080834843954472,0.1938830056387373,0.1810690748652313,0.16946441213279995,0.15891574434459618,0.1493054700018734,0.14051701364236469,0.13245742299290897,0.12504601715040375,0.11821825067560855,0.11190990909400615,0.10606826688509507,0.10065061570827306,0.09561977915315742,0.09093809879073632,0.08657098967565749,0.082490863380909,0.07867201547045637,0.0750933814791394,0.07173722251462063,0.06858552403269975,0.06562177920563939,0.06283060306581154,0.060199762181558085,0.05771805234026985,0.055374319166227585,0.05315799486658102,0.05106128345930006,0.049074637369524936,0.04719124210010445,0.045404128387713925,0.043706389347434364,0.042091964263990596,0.040555583972274864,0.039092854858374174,0.037699379132109224,0.036371102263518564,0.035104166661313004,0.0338944901975807,0.0327389076636011,0.03163425443950199,0.03057755925107496,0.029566094867995624,0.028597472201555996,0.027669677509816304,0.026780440682368737,0.02592746699669505,0.025108934004322146,0.02432306858655657,0.023568275291831215,0.022843330725543298,0.02214648369367399,0.021476292531996063,0.020831534983848887,0.0202109610548593,0.019613412526853446,0.019037869629170937,0.018483310194082326,0.01794876393923778,0.01743339400851615,0.01693626128877503,0.01645650209737073,0.01599338519201325,0.01554622778681297,0.015114359440461954,0.014697100633706026,0.014293788939211911,0.013903857546480531,0.013526783810274026,0.013162026236622108,0.0128091200795869,0.012467614566104894,0.01213704904562222,0.011816932254466046,0.011506913559874868,0.011206595997479012,0.01091556916221467,0.010633475341857013,0.010359998420752607,0.010094840079456232,0.009837709544328792,0.009588299659183184,0.009346323996482456,0.009111514033165206,0.008883603336830704,0.008662343983278063
7,0.4715375608910382,0.41712683876870643,0.3712800990896187,0.332271366667534,0.2988307867505769,0.2699784323469071,0.24489667617376362,0.22295300627153736,0.20365568672116072,0.18661581633381844,0.17151155961393164,0.15805236230712322,0.14601256594929551,0.13520331290338494,0.12546286179093802,0.11666458112875244,0.10868706455733441,0.10143317165463933,0.09481909263984031,0.08877670331972448,0.08324040459687107,0.07815606211226554,0.07347924295428335,0.06917119561881187,0.06519417716396772,0.061513994766888395,0.05810295787577326,0.05493557388967967,0.051990599369325825,0.04924993099415371,0.04669588048553873,0.04431231303675625,0.042084470542791144,0.04000021264443953,0.038048537051612145,0.036218880674148336,0.03450131021891298,0.032888128421761684,0.031370576992875585,0.029942072522564107,0.02859613597854065,0.027326434636303645,0.02612743029312394,0.02499425453245632,0.023922743162785753,0.02290882505913127,0.021948814064744516,0.021039226851897904,0.02017648269772727,0.019357713135273024,0.018580124815181984,0.01784110635697232,0.01713826583980035,0.01646948415374175,0.015832931229313455,0.015226653933167094,0.014648731149836875,0.014097574602180769,0.013571668634518067,0.013069640136740156,0.012590360163487758,0.01213242588644655,0.011694643438299701,0.011275978587569837,0.01087540633130489,0.010491959342804173,0.010124785910398705,0.009773049305046235,0.009435955476963853,0.009112806222700191,0.008802863365654102,0.008505445855837056,0.008219960177353408,0.007945852133060812,0.0076825844550277465,0.007429626447912026,0.00718647004412387,0.006952667917781607,0.006727804322552557,0.006511462623921493,0.00630327412157082,0.006102885551375132,0.005909946168593015,0.005724096956602516,0.005545056607038944,0.00537252659865744,0.005206206975447366,0.00504583096074313,0.004891157217916291,0.004741958479552645,0.004598015258867797,0.004459103841895288,0.004325014807342868,0.004195552096947447,0.004070524660280287,0.003949753217365625
8,0.45163570610920145,0.3961809901524893,0.3497097126693197,0.31038909421651917,0.2768684777624495,0.24810657852436432,0.22324367744410684,0.20161496061624543,0.18270262886423913,0.16609661528119682,0.15145906798929457,0.13848942221063965,0.12695317903967326,0.1166545557029929,0.1074272477485452,0.09913964277868009,0.09166810692819323,0.0849132000150629,0.07878948031083341,0.07322697384364267,0.06815969163266049,0.06353293630475412,0.059301378970203114,0.05542552277633836,0.051867833524058674,0.04859455537414868,0.04557812197942905,0.04279329293274669,0.040218883219295135,0.0378366257961835,0.03562916283332572,0.033580754832613184,0.031677054265882146,0.029906085114402646,0.028257063283399206,0.02671982110889431,0.025284868072042676,0.023944609176753683,0.022690857707749746,0.021517242379282937,0.020417612655738566,0.019386047139361574,0.018417350680382957,0.017506933114985145,0.016650805933654412,0.01584514464354461,0.01508649795395028,0.014371619851173738,0.013697277258521118,0.013060802991963856,0.012459638826069475,0.011891407688457312,0.011353935718505577,0.010845282183573283,0.010363745200885774,0.009907579728952934,0.009475092832044148,0.00906485374188281,0.008675508351608848,0.00830582541362458,0.007954753977817633,0.007621098744817301,0.007303818032910419,0.0070019965551726335,0.006714743482498225,0.006441218827159015,0.006180676385579755,0.005932394123233921,0.00569569062365727,0.005469958446124008,0.00525457712479974,0.005048974550548498,0.0048526428007487285,0.004665107293487469,0.004485914277478128,0.004314623435506624,0.004150816339986829,0.00399411916917701,0.0038441828354233054,0.0037006643504640365,0.0035632560208533485,0.0034316647253671813,0.0033056049114768035,0.0031847920224291203,0.0030689906174750313,0.002957960160033151,0.002851463925586514,0.0027492879862745755,0.0026512372734087504,0.0025571278226815953,0.002466783506508341,0.002380028628910511,0.0022966989216858494,0.002216640648491964,0.0021397056213061975,0.002065754358797252
9,0.4447818118133354,0.3889838010673477,0.3423145878041366,0.30290389328106493,0.26937273369784814,0.24065848312702875,0.21588666465461148,0.19438110708022688,0.17561517794508313,0.15917132390237368,0.14470626231996278,0.13191621212802007,0.12056357040099497,0.11045022077647196,0.1014080334229527,0.09330367376886846,0.0860130426920705,0.07943604075130689,0.07348653448527995,0.06809400571105098,0.06319239330518668,0.05872685328176679,0.05465179621285566,0.050927600027263,0.04751676836784855,0.04438567898012543,0.041506789430833406,0.03885501580229288,0.036409191054216125,0.03415104549650183,0.03206332981357184,0.03013046035801283,0.028338285279887656,0.026674917127738545,0.025129657517138693,0.02369246277761348,0.022354022243755642,0.021106778872553456,0.01994275416058911,0.01885565323366062,0.017839450187247655,0.016888388544760203,0.01599740542228522,0.01516201391457365,0.014378308765447862,0.013642554891326635,0.012951374371786978,0.012301603932133023,0.011690142431713976,0.011114400703838196,0.010571907298817724,0.010060367728043619,0.009577687625248101,0.00912199124939936,0.008691621452587681,0.008284911159162642,0.007900251436497861,0.00753626789224292,0.007191665056207358,0.006865264431607274,0.00655605274844536,0.0062628993740510485,0.005984816767281445,0.005720930433605731,0.0054703954083222435,0.005232421417265848,0.0050062994525230725,0.004791348002822899,0.0045869277919177035,0.004392463945182305,0.004207377170993712,0.004031133478685008,0.0038632556471343634,0.003703299040952759,0.0035508396285408336,0.003405467535119698,0.003266794952311221,0.003134474250079181,0.0030081801635484526,0.002887595952749156,0.0027724358181659852,0.00266242787516631,0.0025573094814105076,0.002456821132568742,0.002360743996817568,0.0022688577976293714,0.0021809473765722572,0.0020968172828277256,0.0020162888785509193,0.0019391934599647905,0.0018653698915146312,0.0017946594202685414,0.001726913781164528,0.0016619936926744272,0.0015997654327401419,0.0015401033750365352
